name,source,transformation,as_of_logic,dtype,description
is_delinquent_rollmax_3,is,is_delinquent_rollmax_3,reporting_month,float,is_delinquent_rollmax_3
is_delinquent_rollmean_6,is,is_delinquent_rollmean_6,reporting_month,float,is_delinquent_rollmean_6
is_delinquent_rollstd_6,is,is_delinquent_rollstd_6,reporting_month,float,is_delinquent_rollstd_6
is_delinquent_rollmax_6,is,is_delinquent_rollmax_6,reporting_month,float,is_delinquent_rollmax_6
is_delinquent_rollmean_12,is,is_delinquent_rollmean_12,reporting_month,float,is_delinquent_rollmean_12
is_delinquent_rollstd_12,is,is_delinquent_rollstd_12,reporting_month,float,is_delinquent_rollstd_12
is_delinquent_rollmax_12,is,is_delinquent_rollmax_12,reporting_month,float,is_delinquent_rollmax_12
is_severe_dq_rollmean_3,is,is_severe_dq_rollmean_3,reporting_month,float,is_severe_dq_rollmean_3
is_severe_dq_rollstd_3,is,is_severe_dq_rollstd_3,reporting_month,float,is_severe_dq_rollstd_3
is_severe_dq_rollmax_3,is,is_severe_dq_rollmax_3,reporting_month,float,is_severe_dq_rollmax_3
is_severe_dq_rollmean_6,is,is_severe_dq_rollmean_6,reporting_month,float,is_severe_dq_rollmean_6
is_severe_dq_rollstd_6,is,is_severe_dq_rollstd_6,reporting_month,float,is_severe_dq_rollstd_6
is_severe_dq_rollmax_6,is,is_severe_dq_rollmax_6,reporting_month,float,is_severe_dq_rollmax_6
is_severe_dq_rollmean_12,is,is_severe_dq_rollmean_12,reporting_month,float,is_severe_dq_rollmean_12
is_severe_dq_rollstd_12,is,is_severe_dq_rollstd_12,reporting_month,float,is_severe_dq_rollstd_12
is_severe_dq_rollmax_12,is,is_severe_dq_rollmax_12,reporting_month,float,is_severe_dq_rollmax_12
modification_flag_rollmean_3,modification,modification_flag_rollmean_3,reporting_month,float,modification_flag_rollmean_3
modification_flag_rollstd_3,modification,modification_flag_rollstd_3,reporting_month,float,modification_flag_rollstd_3
modification_flag_rollmax_3,modification,modification_flag_rollmax_3,reporting_month,float,modification_flag_rollmax_3
modification_flag_rollmean_6,modification,modification_flag_rollmean_6,reporting_month,float,modification_flag_rollmean_6
modification_flag_rollstd_6,modification,modification_flag_rollstd_6,reporting_month,float,modification_flag_rollstd_6
