scenario,next_3m_delinquency_flag_rate,next_3m_delinquency_flag_count,next_6m_delinquency_flag_rate,next_6m_delinquency_flag_count,next_12m_default_flag_rate,next_12m_default_flag_count,next_12m_prepayment_flag_rate,next_12m_prepayment_flag_count,avg_next_3m_delinquency_flag_prob,avg_next_6m_delinquency_flag_prob,avg_next_12m_default_flag_prob,avg_next_12m_prepayment_flag_prob
base,0.14379177900259454,6951,0.2006402231020678,9596,0.124231869269335,7905,0.14941167161302646,6899,0.14379177900259454,0.2006402231020678,0.124231869269335,0.14941167161302646
adverse_credit,0.22461770688795793,19978,0.2792450718969803,22469,0.17873490973910605,14902,0.12941602165059096,5366,0.22461770688795793,0.2792450718969803,0.17873490973910605,0.12941602165059096
high_prepayment,0.14379177900259454,6951,0.2006402231020678,9596,0.124231869269335,7905,0.14941167161302646,6899,0.14379177900259454,0.2006402231020678,0.124231869269335,0.14941167161302646
