target,model,type,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc,val_f1,val_recall@prec80,val_brier,test_roc_auc,test_pr_auc,calibration,train_time_sec
next_3m_delinquency_flag,baseline,logistic_regression,0.619428419775127,0.21323536281947947,0.6249545670605074,0.19328448089886585,0.0,0.0,0.11538982045771795,0.616201162704232,0.18842830522621654,isotonic,48.44183874130249
next_3m_delinquency_flag,improved,lightgbm,0.9289630987468137,0.6977561502768393,0.7378412122752411,0.4528986037597864,0.46503975870578557,0.0004106776180698152,0.09171816960239795,0.7425061969438744,0.4745820480689231,isotonic,8.911397933959961
next_6m_delinquency_flag,baseline,logistic_regression,0.5897961583486774,0.26413500835751313,0.593523035377788,0.24004468358172176,0.0,0.0,0.15309355608874647,0.5815948184369237,0.22250171863500562,isotonic,49.13756036758423
next_6m_delinquency_flag,improved,lightgbm,0.9102626314376014,0.7149665594630674,0.7325669247422066,0.4728324256822421,0.4060089321965083,0.023289665211062592,0.13054670798435863,0.6989518727196253,0.4439505077858712,isotonic,9.3721182346344
next_12m_default_flag,baseline,logistic_regression,0.6512772321417301,0.21066553514477662,0.6531547719713625,0.187037641478561,0.0,0.0,0.10133504794579895,0.6584870308212196,0.16091478473400136,isotonic,47.39688229560852
next_12m_default_flag,improved,lightgbm,0.9568715608751914,0.7663283282169562,0.8593241481385528,0.5654109237136951,0.45644708086169217,0.25721040189125294,0.07384814633802345,0.8083044555676555,0.4868121733873857,isotonic,9.462552070617676
next_12m_prepayment_flag,baseline,logistic_regression,0.5528671168673982,0.16935795865319225,0.560898311369013,0.19206561885675255,0.0,0.0,0.13568092625534242,0.5746115692881355,0.1643289959686568,isotonic,47.7825870513916
next_12m_prepayment_flag,improved,lightgbm,0.9419983032322359,0.7338929443995452,0.7691371702324128,0.43050495902618996,0.28296488946684006,0.04979395604395604,0.11511442554374185,0.6363214672369002,0.22585001264880278,isotonic,9.365013837814331
next_state,baseline,logistic_regression,0.6866854888030716,0.22138712148589987,0.6685151991081381,0.21513048450283204,0.14848541289219255,0.14285714285714285,0.2370338602469172,0.694037978273965,0.22145113150485132,isotonic,175.74709844589233
next_state,improved,lightgbm,0.9905051568140373,0.9069336646498918,0.8522463082763784,0.5141494200095077,0.5206933359100533,0.3922947929619589,0.1476512735548343,0.8597005839225554,0.5272560076627449,isotonic,61.758583307266235
